"scenario","p","m","n_true","n_ratio","m_ratio","method","n_rep","bias","relative_bias","rmse","posterior_sd","coverage_95","stein_loss","median_runtime","mean_runtime","mean_acceptance_rate"
"p3_m10_n4",3,10,4,1.33333333333333,3.33333333333333,"Collapsed",1000,0.422607166333822,0.105651791583456,0.735457333913102,0.5662645724883,0.886,0.188486617642503,0.0799999999999983,0.0813099999999999,NA
"p3_m10_n4",3,10,4,1.33333333333333,3.33333333333333,"MLE",1000,0.319440820664603,0.0798602051661508,0.655765727585082,NA,NA,0.185146074078763,0,0.000439999999999978,NA
"p3_m10_n4",3,10,4,1.33333333333333,3.33333333333333,"RWM",1000,0.423394016373544,0.105848504093386,0.74886604741543,0.566287043424296,0.874,0.189050605712116,0.719999999999999,0.75385,0.541611152788197
"p5_m10_n6",5,10,6,1.2,2,"Collapsed",1000,0.494372342742895,0.0823953904571492,0.723953659039795,0.468690176135316,0.797,0.283755036839762,0.0799999999999983,0.0854700000000001,NA
"p5_m10_n6",5,10,6,1.2,2,"MLE",1000,0.335923656177415,0.0559872760295691,0.597062374050927,NA,NA,0.279289068568891,0,0.000409999999999926,NA
"p5_m10_n6",5,10,6,1.2,2,"RWM",1000,0.501920385996762,0.0836533976661271,0.736538049503619,0.468421877590254,0.782,0.28384642570432,0.769999999999996,0.800909999999999,0.420051762940735
"p10_m10_n11",10,10,11,1.1,1,"Collapsed",1000,0.626858669494929,0.0569871517722663,0.766052724938044,0.384428571624618,0.623,0.530233592555432,0.0900000000000034,0.0932900000000001,NA
"p10_m10_n11",10,10,11,1.1,1,"MLE",1000,0.357639710197945,0.0325127009270859,0.535647601123955,NA,NA,0.523130700688503,0,0.000260000000000019,NA
"p10_m10_n11",10,10,11,1.1,1,"RWM",1000,0.627887743732665,0.0570807039756968,0.777075926906759,0.384145050023931,0.585,0.530431416575077,0.889999999999986,0.90581,0.211950737684421
"p20_m10_n21",20,10,21,1.05,0.5,"Collapsed",1000,0.934518443942429,0.0445008782829728,1.01445231576592,0.33706611986071,0.244,1.04287894688857,0.109999999999985,0.112789999999999,NA
"p20_m10_n21",20,10,21,1.05,0.5,"MLE",1000,0.480476878393016,0.0228798513520484,0.591600227604202,NA,NA,1.03278275086161,0,0.000729999999999961,NA
"p20_m10_n21",20,10,21,1.05,0.5,"RWM",1000,0.931682032242675,0.044365811059175,1.01805016743338,0.335696898578776,0.203,1.04333510190044,1.14000000000001,1.16969,0.102248062015504
"p30_m10_n31",30,10,31,1.03333333333333,0.333333333333333,"Collapsed",1000,1.26067788398693,0.0406670285157073,1.31360522397135,0.319846996428232,0.036,1.57078356222912,0.129999999999995,0.13804,NA
"p30_m10_n31",30,10,31,1.03333333333333,0.333333333333333,"MLE",1000,0.627301272860059,0.0202355249309697,0.702833366452686,NA,NA,1.55654287969943,0,0.000710000000000036,NA
"p30_m10_n31",30,10,31,1.03333333333333,0.333333333333333,"RWM",1000,1.26675658985372,0.0408631158017329,1.32544995590846,0.317492821298447,0.018,1.5712918122539,1.71999999999997,1.73071,0.06696224056014
"p3_m10_n6",3,10,6,2,3.33333333333333,"Collapsed",1000,0.872272271303736,0.145378711883956,1.42965697914048,1.0305483281877,0.839,0.156858304159875,0.0799999999999841,0.0852400000000006,NA
"p3_m10_n6",3,10,6,2,3.33333333333333,"MLE",1000,0.65522026183838,0.109203376973063,1.26360542588373,NA,NA,0.149558680191188,0,0.00017000000000013,NA
"p3_m10_n6",3,10,6,2,3.33333333333333,"RWM",1000,0.876292147131037,0.146048691188506,1.44583049388611,1.02742320453733,0.828,0.157156517267041,0.769999999999982,0.786899999999999,0.578373843460865
"p5_m10_n10",5,10,10,2,2,"Collapsed",1000,1.32501676186124,0.132501676186124,1.764257871841,1.05539322181307,0.731,0.206150413611,0.0800000000000409,0.0883700000000004,NA
"p5_m10_n10",5,10,10,2,2,"MLE",1000,0.850540533223339,0.0850540533223339,1.3836087358052,NA,NA,0.190047564582076,0,0.000240000000000009,NA
"p5_m10_n10",5,10,10,2,2,"RWM",1000,1.34053844487723,0.134053844487723,1.79463685106777,1.05203153439095,0.722,0.206545940960096,0.800000000000068,0.833489999999999,0.40870192548137
"p10_m10_n20",10,10,20,2,1,"Collapsed",1000,2.64028694291594,0.132014347145797,2.89885025458793,1.09689287710436,0.305,0.35858812866355,0.0900000000000318,0.0978800000000023,NA
"p10_m10_n20",10,10,20,2,1,"MLE",1000,1.48160216373242,0.0740801081866208,1.84816695145977,NA,NA,0.31415956585306,0,0.000530000000000314,NA
"p10_m10_n20",10,10,20,2,1,"RWM",1000,2.65172510207002,0.132586255103501,2.92281867088717,1.09406465409855,0.284,0.358828385767218,0.92999999999995,0.95275,0.214599149787447
"p20_m10_n40",20,10,40,2,0.5,"Collapsed",1000,5.43940302068279,0.13598507551707,5.57106363537458,1.12752708240062,0.001,0.692803398242542,0.110000000000014,0.12177,NA
